part_id,part_name,manufacturer,compatible_models,stock_level,warehouse_location,price_eur,status
RCD-40A-30MA,RCD 4P 40A 30mA,Generic,All AC installs,89,Berlin-Tempelhof,48.00,active
MCB-C16-1P,MCB C16 1-pole,Generic,All AC installs,520,Berlin-Tempelhof,8.50,active
MCB-C20-3P,MCB C20 3-pole,Generic,All AC installs,180,Berlin-Tempelhof,28.00,active
ENC-DOC-FOLDER,Documentation Folder,Empire,Standard install,310,Berlin-Tempelhof,4.20,active
ENC-NETZA-SEAL,Plombierung Seal Set,Empire,Compliance,1200,Berlin-Tempelhof,1.10,active
HUA-LUNA-MOD-5KWH,LUNA Battery Module 5kWh,Huawei,LUNA2000,30,Berlin-Tempelhof,1450.00,active
HUA-LUNA-PCS,LUNA Power Control Unit,Huawei,LUNA2000,20,Berlin-Tempelhof,890.00,active
HUA-DONGLE-4G,Smart Dongle 4G,Huawei,SUN2000 series,33,Berlin-Tempelhof,128.00,active
SMA-ENERGY-METER,SMA Energy Meter,SMA,Sunny Boy + Tripower,28,Hamburg-Altona,168.00,active
SMA-HOMEMANAGER-2,Sunny Home Manager 2.0,SMA,SMA ecosystem,35,Hamburg-Altona,398.00,active
GOO-EZLOGGER,EzLogger Pro,Goodwe,Goodwe ecosystem,22,Berlin-Tempelhof,158.00,active
GOO-LYNX-3KW,Lynx Home U 3kWh module,Goodwe,Lynx Home U battery,25,Berlin-Tempelhof,1290.00,active
ENC-ROOF-HOOK-PR,Roof Hook Pantile,K2 Systems,Pitched roof,1100,Munich-Riem,3.40,active
ENC-ROOF-HOOK-FL,Roof Hook Flat Roof,K2 Systems,Flat roof ballasted,420,Munich-Riem,4.10,active
ENC-EARTH-CLAMP,Earth Bonding Clamp,Generic,Roof grounding,890,Munich-Riem,2.30,active
ENC-LIGHTNING-SPD,Surge Protection SPD Type 2,Dehn,All AC installs,76,Hamburg-Altona,124.00,active
WIFI-EXTENDER-OUT,Outdoor WiFi Extender,Generic,Field connectivity,40,Berlin-Tempelhof,68.00,active
TOOL-MEGGER-1KV,Insulation Tester 1kV,Megger,Field tools,15,Berlin-Tempelhof,460.00,active
TOOL-CLAMP-METER,True-RMS Clamp Meter,Fluke,Field tools,20,Berlin-Tempelhof,290.00,active
TOOL-IR-CAMERA,Thermal Imaging Camera,Flir,Field tools,10,Berlin-Tempelhof,1290.00,active
PPE-HARNESS,Roof Safety Harness,Generic,PPE,42,Munich-Riem,148.00,active
PPE-HELMET,Safety Helmet,Generic,PPE,86,Munich-Riem,28.00,active
PPE-GLOVES-INSULATED,Insulated Gloves Class 0,Generic,PPE,124,Munich-Riem,38.00,active
LABEL-PV-WARNING,PV Warning Label Pack,Empire,Compliance,2400,Berlin-Tempelhof,0.80,active
LABEL-DC-LIVE,DC Live Warning Label,Empire,Compliance,1800,Berlin-Tempelhof,0.60,active
ZIPTIE-UV-300MM,UV-resistant Cable Tie 300mm,Generic,Cable management,9800,Berlin-Tempelhof,0.10,active
ZIPTIE-UV-200MM,UV-resistant Cable Tie 200mm,Generic,Cable management,12400,Berlin-Tempelhof,0.08,active
SOLAR-CONDUIT-25M,Solar Conduit 25mm 25m,Generic,Cable protection,68,Munich-Riem,42.00,active
SEAL-ROOF-EPDM,EPDM Roof Sealant Tube,Generic,Roof penetrations,210,Munich-Riem,12.00,active
ANTI-SLIP-PAD,Anti-slip Roof Pad,Generic,PPE,140,Munich-Riem,18.00,active
DC-DISCO-1000V,DC Disconnector 1000V,Generic,String safety,38,Berlin-Tempelhof,84.00,active
HUA-PIDBOX,Huawei PID Recovery Box,Huawei,SUN2000 commercial,20,Berlin-Tempelhof,310.00,active
